time_sec,value
0.0,54.899416
0.127029,54.899416
0.254058,54.899416
0.381087,54.899416
23.754411,11.550941
23.88144,11.680727
24.008469,11.680727
24.135498,11.680727
24.262526,11.680727
24.389555,11.680727
24.516584,11.680727
24.643613,11.680727
24.770642,11.615834
24.897671,11.226476
25.0247,11.226476
25.151729,10.966905
25.278758,10.966905
25.405787,10.966905
25.532816,10.966905
25.659845,10.966905
25.786874,10.966905
25.913903,10.966905
26.040932,10.966905
26.16796,10.966905
26.294989,10.966905
26.422018,10.966905
26.549047,10.966905
26.676076,10.966905
26.803105,10.966905
26.930134,10.966905
27.057163,10.902012
28.073394,11.74562
28.200423,11.74562
28.327452,11.74562
28.454481,11.74562
28.58151,11.74562
28.708539,11.74562
28.835568,11.74562
28.962597,11.74562
29.089626,11.74562
29.216655,11.615834
29.343684,11.09669
29.470713,11.09669
29.597742,10.966905
29.724771,10.966905
29.8518,10.966905
29.978829,10.966905
30.105857,10.966905
30.232886,10.966905
30.359915,10.966905
30.486944,10.966905
30.613973,10.966905
30.741002,10.966905
30.868031,11.680727
30.99506,11.74562
31.122089,11.74562
31.249118,11.74562
31.376147,11.74562
31.503176,11.74562
31.630205,11.74562
31.757234,11.74562
31.884263,11.74562
32.011291,11.74562
32.13832,11.680727
32.265349,11.486048
32.392378,11.09669
32.519407,11.09669
32.646436,10.966905
32.773465,10.966905
32.900494,10.966905
33.027523,10.966905
42.808751,7.722258
42.93578,7.722258
43.062809,7.722258
43.189838,7.722258
43.316867,7.722258
43.443896,7.722258
43.570924,7.722258
43.697953,7.722258
43.824982,7.722258
43.952011,7.722258
44.07904,7.722258
44.206069,7.722258
44.587156,8.43608
44.714185,8.43608
44.841214,8.43608
44.968243,8.43608
45.095272,8.43608
45.222301,8.43608
45.34933,8.43608
45.476359,8.43608
45.603387,8.43608
45.730416,8.43608
45.857445,8.43608
45.984474,8.43608
47.381793,8.43608
47.508821,8.43608
47.63585,8.43608
47.762879,8.43608
47.889908,8.43608
48.016937,8.43608
48.143966,8.43608
48.270995,8.43608
68.214538,12.19987
68.341567,12.264763
68.468596,12.459442
68.595625,12.524335
68.722653,12.848799
68.849682,12.848799
68.976711,12.848799
69.10374,12.848799
69.230769,12.848799
69.357798,12.848799
69.484827,13.367943
69.611856,13.367943
69.738885,13.627515
69.865914,13.627515
69.992943,13.627515
70.119972,13.627515
70.247001,13.627515
70.37403,13.627515
70.501059,13.627515
70.755116,13.497729
70.882145,13.497729
71.009174,13.627515
71.136203,13.627515
71.263232,13.627515
71.390261,13.627515
71.51729,13.627515
71.644319,13.627515
71.771348,13.627515
71.898377,13.367943
72.025406,13.497729
72.152435,13.497729
72.279464,13.497729
72.406493,13.497729
72.533522,13.497729
72.66055,13.497729
72.787579,13.497729
72.914608,13.497729
73.041637,14.016872
73.168666,14.016872
73.295695,14.016872
73.422724,14.016872
73.549753,14.016872
73.676782,14.016872
73.803811,14.081765
73.93084,14.081765
74.057869,14.081765
74.184898,14.081765
74.311927,14.081765
74.438956,14.081765
74.565984,14.081765
74.693013,13.627515
74.820042,13.627515
74.947071,13.627515
75.0741,12.978585
75.201129,12.978585
75.328158,12.978585
75.455187,12.978585
75.582216,12.848799
75.709245,12.848799
75.836274,12.070084
75.963303,12.070084
76.090332,12.394549
76.217361,12.459442
76.34439,12.524335
76.471418,12.589228
76.598447,12.589228
76.725476,12.589228
76.852505,12.589228
76.979534,12.589228
77.106563,12.589228
77.233592,12.589228
77.360621,12.589228
77.48765,12.589228
77.614679,12.589228
77.741708,12.524335
77.868737,12.524335
77.995766,12.524335
