time_sec,value
0.0,210.0
0.127029,210.0
0.254058,210.0
0.381087,210.0
0.508116,117.215393
0.635145,153.64511
0.762174,155.141635
0.889203,155.141635
1.016231,155.141635
1.14326,155.141635
1.270289,155.141635
1.397318,156.937467
1.524347,158.733298
1.651376,158.733298
1.778405,159.50294
1.905434,159.50294
2.032463,159.50294
2.159492,159.50294
2.286521,159.50294
2.41355,159.50294
2.540579,159.50294
2.667608,159.50294
2.794637,159.331908
2.921665,159.331908
3.048694,159.246392
3.175723,159.246392
3.429781,158.519508
3.55681,158.519508
3.683839,158.519508
3.810868,158.519508
3.937897,158.519508
4.064926,158.519508
4.191955,158.519508
4.318984,158.391235
4.954128,158.391235
5.081157,158.47675
5.208186,158.47675
5.335215,158.562266
5.462244,158.562266
5.589273,158.818813
5.716302,158.818813
5.843331,158.818813
5.97036,158.818813
6.097389,158.818813
6.224418,158.818813
6.351447,158.818813
6.478476,158.776056
6.605505,157.27953
6.732534,157.194014
6.859562,157.194014
6.986591,153.858899
7.11362,153.858899
7.240649,153.858899
7.367678,153.858899
7.494707,153.858899
7.621736,150.053447
7.748765,150.053447
7.875794,150.053447
8.002823,150.053447
8.38391,149.839658
8.510939,149.839658
8.637968,149.839658
8.764996,149.839658
8.892025,150.053447
9.019054,150.053447
9.146083,150.053447
9.273112,150.053447
9.400141,150.053447
9.52717,150.053447
9.654199,150.053447
9.781228,150.053447
9.908257,150.053447
10.035286,150.053447
10.162315,150.053447
10.289344,153.217531
10.416373,154.371994
10.543402,154.371994
10.67043,154.414751
10.797459,154.414751
10.924488,154.414751
11.051517,154.414751
11.178546,154.414751
11.305575,154.414751
11.432604,154.414751
11.559633,154.414751
11.686662,154.414751
11.813691,154.414751
11.94072,154.414751
12.067749,157.236772
12.194778,157.236772
12.321807,157.236772
12.448836,157.236772
12.575865,157.236772
12.702893,157.236772
12.829922,157.236772
12.956951,157.236772
13.08398,157.236772
13.211009,157.236772
13.338038,157.06574
13.465067,157.06574
13.592096,157.06574
13.719125,157.06574
13.846154,163.009086
13.973183,164.54837
14.100212,164.54837
14.227241,170.064137
14.35427,172.928915
14.481299,173.399252
14.608327,173.399252
14.735356,173.399252
14.862385,173.399252
14.989414,173.399252
15.116443,173.399252
15.243472,173.399252
15.370501,173.399252
15.49753,173.399252
15.624559,173.399252
15.751588,173.399252
15.878617,173.399252
16.005646,172.373063
16.259704,160.058792
16.386733,160.058792
16.767819,160.058792
16.894848,160.058792
17.021877,160.058792
17.148906,162.32496
17.275935,162.32496
17.402964,162.32496
17.529993,162.32496
17.657022,162.32496
17.784051,162.32496
17.91108,162.838055
18.038109,164.54837
18.165138,164.54837
18.292167,164.54837
18.419195,164.54837
18.546224,164.54837
18.673253,164.54837
18.800282,164.54837
18.927311,164.54837
19.05434,164.54837
19.181369,164.54837
19.308398,164.54837
19.435427,164.54837
19.562456,164.54837
19.689485,164.54837
19.816514,164.206307
19.943543,164.206307
20.070572,159.845003
20.197601,159.845003
20.324629,159.845003
20.451658,159.845003
20.578687,159.845003
20.705716,159.845003
20.832745,159.845003
20.959774,159.845003
21.086803,159.246392
21.213832,159.246392
21.340861,158.47675
21.46789,158.47675
21.594919,157.963656
21.721948,157.963656
22.230064,157.194014
22.61115,158.220203
22.738179,158.220203
22.865208,158.305719
22.992237,158.305719
23.119266,158.305719
23.246295,158.305719
23.373324,158.305719
23.500353,158.305719
23.627382,158.305719
23.754411,158.305719
24.135498,155.141635
24.262526,155.141635
24.389555,155.141635
24.516584,155.141635
24.643613,155.141635
24.770642,155.141635
24.897671,155.141635
25.0247,157.236772
25.151729,157.27953
25.278758,157.27953
25.405787,157.27953
25.532816,157.27953
25.659845,157.27953
25.786874,157.536077
25.913903,159.203634
26.040932,159.246392
26.16796,159.246392
26.294989,159.246392
26.422018,159.246392
26.549047,159.246392
26.676076,159.246392
26.803105,159.246392
26.930134,159.160877
27.057163,159.118119
27.184192,159.802245
